source,n_clusters,sizes,singleton_fraction,deterministic_fraction,clusters_with_two
gdpval,3,"[2, 1, 1]",0.6667,0.3333,1
claw_eval,15,"[5, 4, 3, 3, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.6000,0.8000,6
