source,tasks,rollouts,rollout_pass_rate,pass_hat_k_rate,policy_usd_mean,policy_usd_median,policy_usd_max,policy_usd_total,wall_s_mean,wall_s_median,wall_s_max,judge_usd,judge_calls,judge_cached,harness_failures,failed_tasks,reference_rollouts,reference_usd,reference_usd_per_failed_task,genuine_references,failures_replayed,replay_usd,replay_usd_per_failure,replay_rollouts,diagnosis_usd,diagnosis_usd_per_failure,ft_deterministic,ft_stochastic,ft_unrepairable,ft_unreplayable,infra_failures,usage_mismatch,partial_trajectories,serper_calls_approx,search_usd,source_total_usd
browsecomp,5,5,0.6000,0.6000,0.1864,0.1707,0.3650,0.9320,1946.0,1543.5,3602.8,0.0064,27,0,2,2,2,0.1435,0.0717,2,2,4.3525,2.1762,24,0.0276,0.0138,1,0,0,1,0,0,0,1,0.0490,5.5109
hle,5,5,0.6000,0.6000,0.0434,0.0401,0.0863,0.2170,347.4,345.9,680.5,0.0025,5,0,2,2,2,0.0531,0.0265,0,0,0.0000,,0,0.0022,,0,0,0,0,0,0,0,0,0.0000,0.2748
gdpval,5,5,1.0000,1.0000,0.0513,0.0242,0.1251,0.2566,515.8,433.7,918.2,0.0538,5,0,0,0,0,0.0000,,0,0,0.0000,,0,0.0000,,0,0,0,0,0,0,0,0,0.0000,0.3104
claw_eval,5,15,0.8000,0.8000,0.0093,0.0083,0.0147,0.1399,71.3,64.2,105.4,0.0861,71,0,3,1,1,0.0094,0.0094,1,3,0.3039,0.1013,60,0.0210,0.0070,3,0,0,0,0,0,0,0,0.0000,0.5603
