source,failures_replayed,oracle_validated,deterministic,stochastic,unrepairable,unreplayable,mean_candidates,full_arms_failures,control_pass_fraction_mean
browsecomp,0,0,0,0,0,0,,0,
hle,0,0,0,0,0,0,,0,
gdpval,11,5,3,2,4,2,5.00,10,0.4306
claw_eval,40,33,26,7,7,0,3.77,12,0.2171
